"id","time","cpu_sec_idle","disk_av_per","disk_read","disk_write","net_receive","mem_pressure","mem_av_per","forks_total","intr","load1","load5","load15","receive_drop","receive_errs","transmit_packets","tcp_sock_alloc","tcp_sock_inuse","tcp_sock_mem","udp_sock_inuse","udp_sock_mem","ipv4_sock_inuse","est_conn","lis_conn","open_fds","attack"
763,"2023-09-03 09:43:56","381567.75","70.7523","1275139072","35558200320","1764467","10186","73.6801","11026612","571891698","1.1","0.94","0.91",0,0,12316,164,0,14,0,11,7,2,1,9,0
764,"2023-09-03 09:44:01","381571.6925","70.7523","1275139072","35558675456","1766983","10186","73.6847","11026993","571903178","1.1","0.94","0.91",0,0,12334,164,0,18,0,11,5,2,1,9,0
765,"2023-09-03 09:44:06","381575.645","70.7523","1275139072","35558904832","1769087","10186","73.6806","11027403","571912330","1.25","0.97","0.92",0,0,12350,170,0,18,0,10,8,2,1,9,0
766,"2023-09-03 09:44:10","381579.2975","70.7523","1275139072","35559203840","1771191","10186","73.6702","11027832","571924768","1.23","0.98","0.92",0,0,12366,163,0,16,0,10,7,2,1,9,0
767,"2023-09-03 09:44:15","381583.175","70.7523","1275139072","35559494656","1773665","10186","73.6979","11028320","571933413","1.13","0.96","0.92",0,0,12384,165,0,7,0,10,5,2,1,9,0
768,"2023-09-03 09:44:19","381586.9825","70.7523","1275139072","35559769088","1776139","10186","73.7459","11028728","571944202","1.13","0.96","0.92",0,0,12399,163,0,4,0,10,8,2,1,9,0
769,"2023-09-03 09:44:24","381590.8375","70.7523","1275139072","35560072192","1778613","10186","73.6937","11029146","571954259","1.2","0.98","0.92",0,0,12416,164,0,6,0,10,7,2,1,9,0
770,"2023-09-03 09:44:29","381594.61","70.7523","1275139072","35560514560","1780717","10186","73.7315","11029538","571965570","1.1","0.96","0.92",0,0,12432,164,0,7,0,10,7,2,1,9,0
771,"2023-09-03 09:44:33","381598.54","70.7523","1275139072","35560956928","1782821","10186","73.6382","11029957","571976309","1.01","0.94","0.91",0,0,12448,164,0,9,0,10,8,2,1,9,0
772,"2023-09-03 09:44:38","381602.38","70.7523","1275139072","35561296896","1785295","10186","73.6592","11030340","571988798","1.33","1.01","0.94",0,0,12462,168,0,12,0,10,8,2,1,9,0
773,"2023-09-03 09:44:42","381606.155","70.7523","1275139072","35561653248","1787441","10186","73.6858","11030758","571999220","1.39","1.03","0.94",0,0,12479,164,0,12,0,11,6,2,1,9,0
774,"2023-09-03 09:44:47","381609.845","70.7523","1275139072","35561964544","1789587","10186","73.7266","11031273","572007227","1.28","1.01","0.94",0,0,12496,164,0,5,0,13,5,2,1,9,0
775,"2023-09-03 09:44:51","381613.4775","70.7523","1275139072","35562226688","1792061","10186","73.6628","11031695","572019153","1.33","1.03","0.94",0,0,12511,164,0,8,0,13,7,2,1,9,0
776,"2023-09-03 09:44:56","381617.4125","70.7523","1275139072","35562546176","1794535","10186","73.6819","11032085","572027580","1.23","1.01","0.94",0,0,12527,165,0,6,0,13,6,2,1,9,0
777,"2023-09-03 09:45:01","381621.175","70.7523","1275139072","35563054080","1797009","10186","73.7967","11032779","572039615","1.13","0.99","0.93",0,0,12543,164,0,8,0,11,6,2,1,9,0
778,"2023-09-03 09:45:05","381624.89","70.7523","1275139072","35563262976","1799483","10186","73.7633","11033644","572048542","1.04","0.98","0.93",0,0,12560,170,0,10,0,11,7,2,1,9,0
779,"2023-09-03 09:45:10","381628.7325","70.7523","1275139072","35563754496","1801587","10186","73.7371","11034045","572059097","1.04","0.98","0.93",0,0,12574,167,0,9,0,12,8,2,1,9,0
780,"2023-09-03 09:45:14","381632.3875","70.7523","1275139072","35564069888","1803691","10186","73.7255","11034538","572070600","1.12","0.99","0.93",0,0,12588,168,0,13,0,12,7,2,1,9,0
781,"2023-09-03 09:45:20","381636.045","70.7523","1275139072","35564770304","1806231","10186","73.7262","11034946","572084496","1.67","1.11","0.97",0,0,12605,166,0,11,0,13,8,2,1,9,0
782,"2023-09-03 09:45:24","381639.6425","70.7523","1275139072","35564983296","1808747","10186","73.7478","11035361","572096590","1.93","1.18","0.99",0,0,12624,166,0,13,0,13,6,2,1,9,0
783,"2023-09-03 09:45:29","381643.17","70.7523","1275139072","35565306880","1811221","10186","73.7476","11035753","572110841","2.02","1.21","1",0,0,12642,168,0,16,0,12,8,2,1,9,0
784,"2023-09-03 09:45:33","381646.6525","70.7523","1275139072","35566126080","1813761","10186","73.6816","11036173","572125611","1.86","1.19","1",0,0,12657,166,0,18,0,12,7,2,1,9,0
785,"2023-09-03 09:45:38","381650.2525","70.7523","1275139072","35566601216","1815865","10186","73.7228","11036555","572138500","1.71","1.17","0.99",0,0,12671,169,0,18,0,12,6,2,1,9,0
786,"2023-09-03 09:45:42","381653.6","70.7523","1275139072","35566883840","1818011","10186","73.7318","11036976","572152209","1.57","1.15","0.99",0,0,12686,165,0,15,0,11,7,2,1,9,0
787,"2023-09-03 09:45:47","381656.975","70.7523","1275139072","35567174656","1820115","10186","73.6309","11037540","572163315","1.45","1.13","0.98",0,0,12702,164,0,15,0,11,7,2,1,9,0
788,"2023-09-03 09:45:51","381660.8325","70.7523","1275139072","35567432704","1822285","10186","73.7101","11037959","572175414","1.33","1.11","0.98",0,0,12716,167,0,21,0,11,8,2,1,9,0
789,"2023-09-03 09:45:56","381664.63","70.7523","1275139072","35567666176","1824389","10186","73.7693","11038367","572184438","1.3","1.11","0.98",0,0,12730,164,0,14,0,11,5,2,1,9,0
790,"2023-09-03 09:46:01","381668.4075","70.7523","1275139072","35567989760","1826493","10186","73.7926","11038764","572195593","1.2","1.09","0.97",0,0,12746,162,0,19,0,12,6,2,1,9,0
791,"2023-09-03 09:46:05","381672.205","70.7523","1275139072","35568301056","1828597","10186","73.7124","11039181","572204361","1.18","1.09","0.97",0,0,12762,165,0,20,0,12,5,2,1,9,0
792,"2023-09-03 09:46:10","381676.0775","70.7523","1275139072","35568550912","1831071","10186","73.746","11039589","572213986","1.09","1.07","0.97",0,0,12779,164,0,6,0,12,8,2,1,9,0
793,"2023-09-03 09:46:15","381679.99","70.7523","1275167744","35568935936","1833217","10187","73.7099","11040083","572224836","1.09","1.07","0.97",0,0,12796,168,0,16,0,12,6,2,1,9,0
794,"2023-09-03 09:46:19","381683.7275","70.7523","1275167744","35569173504","1835321","10187","73.7969","11040467","572234724","1","1.05","0.96",0,0,12810,165,0,14,0,11,6,2,1,9,0
795,"2023-09-03 09:46:24","381687.58","70.7523","1275167744","35569468416","1837425","10187","73.7207","11040907","572245602","0.92","1.03","0.96",0,0,12826,165,0,14,0,11,8,2,1,9,0
796,"2023-09-03 09:46:28","381691.34","70.7523","1275192320","35569820672","1839899","10188","73.7282","11041284","572255401","0.85","1.01","0.95",0,0,12844,168,0,14,0,10,8,2,1,9,0
797,"2023-09-03 09:46:33","381695.1425","70.7523","1275192320","35570152448","1842003","10188","73.7121","11041715","572268181","0.78","1","0.94",0,0,12858,167,0,16,0,11,8,2,1,9,0
